token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
61552,SBIN26MAY26870CE,SBIN,26MAY2026,87000.000000,750,OPTSTK,NFO,5.000000
139337,SHREECEM30JUN2626750PE,SHREECEM,30JUN2026,2675000.000000,25,OPTSTK,NFO,5.000000
139388,SHREECEM28JUL2622500CE,SHREECEM,28JUL2026,2250000.000000,25,OPTSTK,NFO,5.000000
139501,PETRONET26MAY26220CE,PETRONET,26MAY2026,22000.000000,1900,OPTSTK,NFO,5.000000
139525,PETRONET26MAY26265CE,PETRONET,26MAY2026,26500.000000,1900,OPTSTK,NFO,5.000000
61642,BANKNIFTY28JUL2648300PE,BANKNIFTY,28JUL2026,4830000.000000,30,OPTIDX,NFO,5.000000
61649,BANKNIFTY28JUL2648600CE,BANKNIFTY,28JUL2026,4860000.000000,30,OPTIDX,NFO,5.000000
61666,BANKNIFTY28JUL2649300PE,BANKNIFTY,28JUL2026,4930000.000000,30,OPTIDX,NFO,5.000000
61694,BANKNIFTY28JUL2650400PE,BANKNIFTY,28JUL2026,5040000.000000,30,OPTIDX,NFO,5.000000
139530,PETRONET26MAY26270PE,PETRONET,26MAY2026,27000.000000,1900,OPTSTK,NFO,5.000000
139542,PETRONET26MAY26280PE,PETRONET,26MAY2026,28000.000000,1900,OPTSTK,NFO,5.000000
139554,PETRONET26MAY26305PE,PETRONET,26MAY2026,30500.000000,1900,OPTSTK,NFO,5.000000
139572,PETRONET26MAY26325PE,PETRONET,26MAY2026,32500.000000,1900,OPTSTK,NFO,5.000000
61706,BANKNIFTY28JUL2651000CE,BANKNIFTY,28JUL2026,5100000.000000,30,OPTIDX,NFO,5.000000
61708,BANKNIFTY28JUL2651100CE,BANKNIFTY,28JUL2026,5110000.000000,30,OPTIDX,NFO,5.000000
61709,BANKNIFTY28JUL2651100PE,BANKNIFTY,28JUL2026,5110000.000000,30,OPTIDX,NFO,5.000000
61740,BANKNIFTY28JUL2652300PE,BANKNIFTY,28JUL2026,5230000.000000,30,OPTIDX,NFO,5.000000
139606,LT26MAY263500CE,LT,26MAY2026,350000.000000,175,OPTSTK,NFO,5.000000
139615,LT26MAY263660PE,LT,26MAY2026,366000.000000,175,OPTSTK,NFO,5.000000
139633,LT26MAY263940PE,LT,26MAY2026,394000.000000,175,OPTSTK,NFO,5.000000
139709,SHRIRAMFIN30JUN26910PE,SHRIRAMFIN,30JUN2026,91000.000000,825,OPTSTK,NFO,5.000000
61758,BANKNIFTY28JUL2653100CE,BANKNIFTY,28JUL2026,5310000.000000,30,OPTIDX,NFO,5.000000
61784,BANKNIFTY28JUL2654000CE,BANKNIFTY,28JUL2026,5400000.000000,30,OPTIDX,NFO,5.000000
61789,BANKNIFTY28JUL2654200CE,BANKNIFTY,28JUL2026,5420000.000000,30,OPTIDX,NFO,5.000000
61802,BANKNIFTY28JUL2654500PE,BANKNIFTY,28JUL2026,5450000.000000,30,OPTIDX,NFO,5.000000
139716,SHRIRAMFIN30JUN26990CE,SHRIRAMFIN,30JUN2026,99000.000000,825,OPTSTK,NFO,5.000000
139729,SHRIRAMFIN30JUN261110PE,SHRIRAMFIN,30JUN2026,111000.000000,825,OPTSTK,NFO,5.000000
139778,SHRIRAMFIN28JUL26800CE,SHRIRAMFIN,28JUL2026,80000.000000,825,OPTSTK,NFO,5.000000
139785,SHRIRAMFIN28JUL26860PE,SHRIRAMFIN,28JUL2026,86000.000000,825,OPTSTK,NFO,5.000000
61821,BANKNIFTY28JUL2655500CE,BANKNIFTY,28JUL2026,5550000.000000,30,OPTIDX,NFO,5.000000
61867,BANKNIFTY28JUL2657000CE,BANKNIFTY,28JUL2026,5700000.000000,30,OPTIDX,NFO,5.000000
61877,BANKNIFTY28JUL2657500CE,BANKNIFTY,28JUL2026,5750000.000000,30,OPTIDX,NFO,5.000000
